Called At,Action,Business Name,Business ID,Phone,City,Country
2026-06-10 16:29:15,Called,Осман,8871589815,+389 47 512 966,Bitola,North Macedonia
2026-06-11 16:03:59,Called,Salong Madness,3398068169,+46 76 268 51 12,Alingsås,Sweden
2026-06-11 16:18:33,Called,Kali / Beauty Salong,10101067828,+46 73 577 64 67,Alingsås,Sweden
2026-06-11 16:23:58,Called,159 Beauty,10542864118,+46 70 006 61 99,Alingsås,Sweden
2026-06-11 16:25:40,Called,Studio 57,11966105020,+46 31 425 75 7; +46 73 051 69 69,Alingsås,Sweden
2026-06-11 16:39:31,Called,Bräcke Solarium,1245601713,+46733766954,Björlanda,Sweden
2026-06-11 16:44:11,Called,Roze Beauty,2137719403,+46 73 878 80 21,Björlanda,Sweden
2026-06-11 17:09:13,Called,Järfälla Laserklinik,12229901735,+46 736 76 61 28,Danderyd,Sweden
2026-06-11 17:11:26,Called,Magic Touch,4339484415,+46 18 15 09 09,Enköping,Sweden
2026-06-11 17:12:14,Uncalled,Magic Touch,4339484415,+46 18 15 09 09,Enköping,Sweden
2026-06-11 17:12:14,Called,Restyle & Beauty,12043501813,+46 73 702 27 78,Enköping,Sweden
2026-06-11 17:22:47,Called,Basic Beauty,3531648027,+46 73 692 12 40,Eslöv,Sweden
2026-06-11 17:28:25,Called,Lalan Beauty,11085405359,+46739164369,Eslöv,Sweden
2026-06-11 17:35:47,Uncalled,Basic Beauty,3531648027,+46 73 692 12 40,Eslöv,Sweden
2026-06-11 17:35:47,Called,Basic Beauty,3531648027,+46 73 692 12 40,Eslöv,Sweden
2026-06-11 17:46:22,Called,Estella Maris SpaBeauty,7850592070,+46 73 936 47 29,Gustavsberg,Sweden
2026-06-11 18:14:43,Called,Cambridge Viktprogram,5961036739,+46 70 334 69 70,Härnösand,Sweden
2026-06-11 18:33:56,Called,Brilliant Nails,2315926220,+46 31 131319,Kungälv,Sweden
2026-06-11 18:42:09,Called,Minnah Afro Kosmetik,4319359259,+46 735 57 70 29,Linköping,Sweden
2026-06-11 19:07:15,Called,Fothälsan,12133756681,+46 70 261 59 55,Staffanstorp,Sweden
2026-06-11 19:15:25,Called,Lee Nails,4838182864,+46 72 730 55 55,Tullinge,Sweden
2026-06-11 19:19:37,Called,L'Brows by MW,10125545417,+46724333164,Tullinge,Sweden
2026-06-11 19:21:26,Called,Sister Nails Spa 2,11865535703,+46723222188,Tullinge,Sweden
