Sent At,Business Name,Email Address,Template,Subject,City,Country,Business Type,Test/Real
2026-06-11 10:38:34,Ирски паб Св. Патрик,jordanarizanov@gmail.com,Create & Build,A website for Ирски паб Св. Патрик that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:38:34,Ирски паб Св. Патрик,krstev_kire@yahoo.com,Create & Build,A website for Ирски паб Св. Патрик that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:38:36,Piazza Liberta,jordanarizanov@gmail.com,Create & Build,A website for Piazza Liberta that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:38:37,Piazza Liberta,krstev_kire@yahoo.com,Create & Build,A website for Piazza Liberta that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:44:41,Woodstock,jordanarizanov@gmail.com,Create & Build,A website for Woodstock that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:44:42,Woodstock,krstev_kire@yahoo.com,Create & Build,A website for Woodstock that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:44:44,Owl Mixology Bar,jordanarizanov@gmail.com,Create & Build,A website for Owl Mixology Bar that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 10:44:44,Owl Mixology Bar,krstev_kire@yahoo.com,Create & Build,A website for Owl Mixology Bar that drives more covers and orders,Skopje,North Macedonia,Bar,Test
2026-06-11 12:59:03,Big Bite Alta,altaamfi@bigbite.no,Create & Build,A website for Big Bite Alta that drives more covers and orders,Alta,Norway,Restaurant,Real
2026-06-11 13:01:01,tannpleier,interested@domainmarket.com,Update & Maintain,Keeping tannpleier's online presence professional and up to date,Alta,Norway,Dentist,Real
2026-06-11 13:04:00,PetXL,kundeservice@petxl.no,Update & Maintain,Helping PetXL turn more browsers into buyers,Bergen,Norway,Pet Store,Real
2026-06-11 13:05:15,TGI Friday's,bergen@fridays.no,Create & Build,A website for TGI Friday's that drives more covers and orders,Bergen,Norway,Restaurant,Real
2026-06-11 16:45:41,Salong Madness,salongmadness@outlook.com,Create & Build,A website that showcases Salong Madness's work and fills your calendar,Björlanda,Sweden,Beauty Salon,Real
2026-06-11 16:47:21,Studio 57,mmir8@hotmail.com,Create & Build,A website that showcases Studio 57's work and fills your calendar,Björlanda,Sweden,Beauty Salon,Real
2026-06-11 16:47:27,Pink Nails,pinknails.gbg@gmail.com,Create & Build,A website that showcases Pink Nails's work and fills your calendar,Björlanda,Sweden,Beauty Salon,Real
2026-06-11 17:17:26,Magic Touch,hello@rfuenzalida.com,Create & Build,A website that showcases Magic Touch's work and fills your calendar,Enköping,Sweden,Beauty Salon,Real
2026-06-11 17:36:58,Minebelle Nails & Spa,congnguyen89@me.com,Create & Build,A website that showcases Minebelle Nails & Spa's work and fills your calendar,Eslöv,Sweden,Beauty Salon,Real
2026-06-11 17:48:49,Golden Hands Nails,goldenhandsnailsab@gmail.com,Create & Build,A website that showcases Golden Hands Nails's work and fills your calendar,Gustavsberg,Sweden,Beauty Salon,Real
2026-06-11 18:42:39,Minnah Afro Kosmetik,ommosi@comhem.se,Create & Build,A website that showcases Minnah Afro Kosmetik's work and fills your calendar,Linköping,Sweden,Beauty Salon,Real
2026-06-12 14:59:13,Salong Crew Nr 1,jordanarizanov@gmail.com,Create & Build,A website that showcases Salong Crew Nr 1's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 14:59:14,Salong Crew Nr 1,krstev_kire@yahoo.com,Create & Build,A website that showcases Salong Crew Nr 1's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 14:59:16,Hadi's sax,jordanarizanov@gmail.com,Create & Build,A website that showcases Hadi's sax's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 14:59:17,Hadi's sax,krstev_kire@yahoo.com,Create & Build,A website that showcases Hadi's sax's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 14:59:19,Samira Beauty Hair,jordanarizanov@gmail.com,Create & Build,A website that showcases Samira Beauty Hair's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 14:59:20,Samira Beauty Hair,krstev_kire@yahoo.com,Create & Build,A website that showcases Samira Beauty Hair's work and fills your calendar,Björlanda,Sweden,Hair Salon,Test
2026-06-12 15:01:29,Hair Beauty,jordanarizanov@gmail.com,Create & Build,A website that showcases Hair Beauty's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:29,Hair Beauty,krstev_kire@yahoo.com,Create & Build,A website that showcases Hair Beauty's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:32,Raica,jordanarizanov@gmail.com,Create & Build,A website that showcases Raica's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:33,Raica,krstev_kire@yahoo.com,Create & Build,A website that showcases Raica's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:38,Lana Hair,jordanarizanov@gmail.com,Create & Build,A website that showcases Lana Hair's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:39,Lana Hair,krstev_kire@yahoo.com,Create & Build,A website that showcases Lana Hair's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:41,Studio 98,jordanarizanov@gmail.com,Create & Build,A website that showcases Studio 98's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:01:42,Studio 98,krstev_kire@yahoo.com,Create & Build,A website that showcases Studio 98's work and fills your calendar,Danderyd,Sweden,Hair Salon,Test
2026-06-12 15:03:58,Salong Crew Nr 1,salongcrewnr2@hotmail.com,Create & Build,A website that showcases Salong Crew Nr 1's work and fills your calendar,Gothenburg,Sweden,Hair Salon,Real
2026-06-12 15:04:08,Hadi's sax,hadi546@hotmail.com,Create & Build,A website that showcases Hadi's sax's work and fills your calendar,Gothenburg,Sweden,Hair Salon,Real
